,Manufacturer,year,DESCRIPTION OF FACTS CAUSING DISENGAGEMENT,Label
10129,AE,22,"The ADS generated a motion plan that would have placed the vehicle in an incorrect location on the roadway, requiring the Safety Driver to disengage.  The Safety Driver was able to safely take control of the vehicle.",
12872,AE,22,"The ADS generated a motion plan that did not meet expectations of providing courtesy to other road users, leading the Safety Driver to disengage.  The Safety Driver was able to safely take control of the vehicle.",
7523,AE,22,"The ADS generated a motion plan that would have placed the vehicle in an incorrect location on the roadway, requiring the Safety Driver to disengage.  The Safety Driver was able to safely take control of the vehicle.",
30200,AQ,19,Disengage for a perception discrepancy for which a component of the vehicle s perception system failed to detect an object correctly,
6400,AQ,23,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly,
21322,AQ,19,Disengage for adverse weather conditions experienced during testing,
6326,AQ,23,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances,
6441,AQ,23,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
30135,AQ,18,Disengage for a recklessly behaving road user,
30141,AQ,18,Disengage for a perception discrepancy for which a component of the vehicle s perception system failed to detect an object correctly,
30214,AQ,19,Disengage for a perception discrepancy for which a component of the vehicle s perception system failed to detect an object correctly,
30205,AQ,19,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances,
6454,AQ,23,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
30164,AQ,19,Disengage for a perception discrepancy for which a component of the vehicle s perception system failed to detect an object correctly,
6401,AQ,23,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances,
30174,AQ,19,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances,
6508,AQ,23,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly,
6490,AQ,23,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances,
6427,AQ,23,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly,
6384,AQ,23,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
6464,AQ,23,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly,
6458,AQ,23,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly,
6408,AQ,23,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
17991,CC,20,Disengagement for unwanted maneuver of the vehicle in merging situation with consequtive aggressive cut-ins in front of the vehicle in down town San Jose.,
17992,CC,20,Disengagement for a perception discrepancy false possitive which impacted the vehicle to react and make unwanted maneuver,
18023,CE,19,Disengage for unwanted vehicle maneuver due to perception of a parked vehicles,
18024,CE,20,Disengage for a late detection of a pedestrian riding a scooter.,
16442,BF,21,Object Perception: Incorrectly perceived in road small object leads to unwanted braking,
16429,BF,21,Planning Logic: Planner trajectory inadequately yields for agent pulling out from street parking,
16439,BF,21,Planning Logic: Planner trajectory inadequately yields for agent in adjacent lane,
16424,BF,21,Object Perception: Late perception of occluded vehicle leads to unwanted planner trajectory,
16428,BF,21,Planning Logic: Planner trajectory inadequately yields for vehicle reversing out of driveway,
16422,BF,20,Planning Logic: Incorrect behavior prediction for cyclist leads to unwanted braking,
16441,BF,21,Planning Logic: Incorrect behavior prediction for oncoming vehicle results in unwanted braking,
14251,BF,21,Planning Logic: Planner trajectory inadequately yields for cyclist with agent behind,
16433,BF,21,Planning Logic: Incorrect behavior prediction for offroad pedestrian results in unwanted braking,
16420,BF,20,Object Perception: Incorrectly perceived in road small object lead to unwanted braking,
16434,BF,21,Object Perception: Incorrectly perceived in road small object leads to unwanted braking,
14260,BF,22,Planning Logic: Planner trajectory inadequately pulls over with agent behind,
16421,BF,20,Planning Logic: Planner trajectory fails to avoid potential overlap with cyclist,
14259,BF,22,Planning Logic: Planner trajectory inadequately yields for agent pulling out from street parking,
14264,BF,22,Planning Logic: Incorrect behavior prediction for reversing agent results in incorrect stopping location,
16432,BF,21,Planning Logic: Planned trajectory inadequately yields for vehicle reversing out of driveway,
16437,BF,21,Planning Logic: Prediction about agent merging behind us leads to unwanted braking,
14255,BF,22,Mapping: Inaccurate map tiles due to new construction led to overlap with curb,
16430,BF,21,Object Perception: Late to perceive animal crossing the road,
16438,BF,21,Planning Logic: Planner trajectory inadequately yields for right-of-way-violating agent,
112,AC,23,"Safety Driver disengaged autonomous mode due to issue with lane change maneuver because of insufficient distance keeping from other vehicles. Root cause: object detection or other issue. Conditions: Non-inclement weather, dry roads, no other factors involved.",
56,AC,23,"Safety Driver disengaged autonomous mode upon judging that vehicle was too close to road/lane boundary. Root cause: object, lane detection or other issue. Conditions: Non-inclement weather, dry roads, no other factors involved.",
418,AC,23,"Safety Driver disengaged autonomous mode upon judging that vehicle was too close to road/lane boundary. Root cause: object, lane detection or other issue. Conditions: Non-inclement weather, dry roads, no other factors involved.",
416,AC,23,"Safety Driver disengaged autonomous mode to perform a steering maneuver to correct the trajectory of the vehicle. Root cause: trajectory calculation issue. Conditions: Non-inclement weather, dry roads, no other factors involved.",
457,AC,23,"Safety Driver disengaged autonomous mode to ensure stopping at traffic light or stop line. Root cause: inaccurate traffic light or stop line detection. Conditions: Non-inclement weather, dry roads, no other factors involved.",
334,AC,23,"Safety Driver disengaged autonomous mode due to inappropriate braking, caused by perception issue.  Root cause: trajectory calculation issue. Conditions: Non-inclement weather, dry roads, no other factors involved.",
594,AC,23,"Safety Driver disengaged autonomous mode upon judging that vehicle was too close to road/lane boundary. Root cause: object, lane detection or other issue. Conditions: Non-inclement weather, dry roads, no other factors involved.",
640,AC,23,"Safety Driver disengaged autonomous mode upon judging that vehicle was too close to road/lane boundary. Root cause: object, lane detection or other issue. Conditions: Non-inclement weather, dry roads, no other factors involved.",
628,AC,23,"Safety Driver disengaged autonomous mode upon judging that vehicle was too close to road/lane boundary. Root cause: object, lane detection or other issue. Conditions: Non-inclement weather, dry roads, no other factors involved.",
313,AC,23,"Safety Driver disengaged autonomous mode upon judging that vehicle was too close to road/lane boundary. Root cause: object, lane detection or other issue. Conditions: Non-inclement weather, dry roads, no other factors involved.",
306,AC,23,"Safety Driver disengaged autonomous mode upon judging that vehicle was too close to road/lane boundary. Root cause: object, lane detection or other issue. Conditions: Non-inclement weather, dry roads, no other factors involved.",
